year,donor,recipient_iso3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2007,Caribbean Development Bank (CDB),BRB,0,0,0,0,0,0,33475192.3069,0,0,0,0,0,0,0,0,0,0
2000,World Bank - International Finance Corporation (IFC),IDN,0,0,0,0,0,0,0,0,0,641002.525637,0,0,0,0,0,641002.525637,641002.525637
2003,Islamic Development Bank (ISDB),PAK,0,0,0,0,0,0,0,1272670.08819,0,0,1272670.08819,0,0,0,0,0,0
2001,Asian Development Bank (ASDB),PAK,0,0,0,0,529572.124485,0,529572.124485,0,0,0,0,529572.124485,0,0,0,0,529572.124485
2008,Liechtenstein,,0,0,1524.06330977,1524.06330977,0,0,0,0,0,0,0,0,0,0,0,1524.06330977,0
2002,Germany,POL,7765.28189577,0,7765.28189577,0,0,0,0,0,0,0,0,0,7765.28189577,0,7765.28189577,0,0
2005,Inter-American Development Bank (IADB),,453555.10152,0,0,0,0,453555.10152,0,0,0,0,0,0,453555.10152,0,0,453555.10152,0
2007,Caribbean Development Bank (CDB),BLZ,0,0,0,0,643379.96031,0,643379.96031,0,643379.96031,0,0,0,643379.96031,0,0,0,0
2007,Andean Development Corporation (CAF),COL,767146.216585,0,767146.216585,0,0,0,0,0,0,0,0,0,767146.216585,0,767146.216585,0,0
2007,Liechtenstein,DEU,0,0,0,0,0,0,0,0,13640.6975071,0,0,0,13640.6975071,0,0,0,0
2006,World Bank - Carbon Finance Unit,CHN,0,0,0,0,0,15043861.0406,0,0,0,0,0,0,0,0,0,0,0
2002,Caribbean Development Bank (CDB),JAM,38303.7456777,0,0,0,38303.7456777,0,0,0,0,0,0,0,0,0,38303.7456777,0,0
2007,Asian Development Bank (ASDB),CHN,0,272763.09923,0,0,0,0,0,0,0,0,272763.09923,272763.09923,0,0,0,0,0
2007,Andean Development Corporation (CAF),COL,0,0,0,0,0,0,0,0,0,1704769.37019,0,0,0,0,0,1704769.37019,1704769.37019
2007,European Bank for Reconstruction & Development (EBRD),AZE,1652261.07337,0,0,0,1652261.07337,0,0,0,0,0,0,0,1652261.07337,0,0,1652261.07337,1652261.07337
2004,Liechtenstein,ROU,0,0,0,0,0,0,0,0,4762.93658872,0,0,0,4762.93658872,0,0,0,0
2007,Arab Fund for Economic & Social Development (AFESD),ARE,0,0,0,0,0,0,0,0,14395.6563163,0,0,0,14395.6563163,0,0,0,0
2005,Islamic Development Bank (ISDB),GMB,0,0,0,0,0,0,0,0,0,0,0,0,19446174.9776,0,0,0,0
2004,Islamic Development Bank (ISDB),,5817.10466808,0,0,5817.10466808,0,0,0,5817.10466808,5817.10466808,0,0,5817.10466808,0,0,0,0,0
2000,European Communities (EC),RUS,342489.680762,0,342489.680762,0,0,0,0,0,0,0,0,0,342489.680762,0,342489.680762,0,0
2002,United States,BGR,0,170559.109141,0,170559.109141,0,0,0,0,0,0,0,170559.109141,0,0,0,0,0
2002,Asian Development Bank (ASDB),TJK,43637.1786203,0,0,0,0,0,43637.1786203,0,0,0,43637.1786203,43637.1786203,0,0,0,0,0
2010,India,NAM,0,0,0,0,0,0,0,0,471168.07791,0,0,0,0,0,0,471168.07791,0
2004,Canada,UKR,0,55028.3694107,0,55028.3694107,0,0,0,0,0,0,0,55028.3694107,0,0,0,0,0
2007,African Development Fund (AFDF),MOZ,0,9159633.1521,0,0,0,0,0,0,0,0,0,0,0,0,0,9159633.1521,9159633.1521
2001,Kuwait,MLI,246683.27912,0,0,0,246683.27912,246683.27912,0,0,0,0,0,0,0,0,0,0,0
2002,Andean Development Corporation (CAF),VEN,0,0,0,0,0,145457262.067,0,0,0,0,0,0,0,0,0,0,0
2007,Asian Development Bank (ASDB),MDV,920575.459902,0,0,0,920575.459902,0,0,0,0,0,0,0,920575.459902,0,0,920575.459902,920575.459902
2004,Islamic Development Bank (ISDB),SRB,0,0,0,0,0,0,0,0,168696.035375,0,0,0,168696.035375,0,0,0,0
2008,International Fund for Agricultural Development (IFAD),,0,389028.29718,0,0,0,0,0,0,0,0,0,0,0,0,0,389028.29718,389028.29718
2007,United States,,0,2895.66062362,0,0,0,0,2895.66062362,0,0,0,0,0,0,0,0,0,0
2005,Islamic Development Bank (ISDB),SOM,0,0,0,0,56694.38769,0,0,0,0,0,56694.38769,0,56694.38769,0,0,0,0
2007,Islamic Development Bank (ISDB),UGA,0,0,0,0,0,296629.870413,0,0,0,0,0,0,0,0,0,0,0
