Receiver Region,Receiver Country,New Receiver Region
"Africa, North of Sahara","Africa, North of Sahara, unspecified",
"Africa, Regional Programs","Africa, Regional Programs, unspecified",
"Africa, South of Sahara","Africa, South of Sahara, unspecified",
"America, Regional Programs","America, Regional Programs",
"Asia, Regional Programs","Asia, Regional Programs",
"Bilateral, unspecified","Bilateral, unspecified",
"Central Asia, Regional Programs","Central Asia, Regional Programs",
EGYPT,Egypt,"Africa, North of Sahara"
Europe,"Europe, regional",
Far East Asia,"Far East Asia, unspecified",
"Latin America, Regional Programs","Latin America, Regional Programs",
Middle East,"Middle East, unspecified",
NIGERIA,Nigeria,"Africa, South of Sahara"
North & Central America,"North & Central America, unspecified",
"North & Central America, regional","North & Central America, Regional Programs",
Oceania,"Oceania, unspecified",
South & Central Asia,"South & Central Asia, unspecified",
South America,"South America, unspecified",
"South Asia, Regional Programs","South Asia, Regional Programs",
"West Indies, Regional Programs","West Indies, Regional Programs",
